Parameter,Estimate,MCSE,Std. Dev.,95% HPDI
(Intercept),1.864,0.001,0.173,"(1.525, 2.207)"
grade7,0.523,0.001,0.229,"(0.074, 0.976)"
grade8,1.761,0.001,0.275,"(1.216, 2.299)"
sigma2,0.962,0.001,0.145,"(0.698, 1.251)"
